,precision,recall,f1-score,support
Benign,0.9531453145314531,0.9998950847190894,0.9759606768899926,76252.0
Attack,0.0,0.0,0.0,3748.0
accuracy,0.95305,0.95305,0.95305,0.95305
macro avg,0.47657265726572656,0.4999475423595447,0.4879803384449963,80000.0
weighted avg,0.9084904565456545,0.95305,0.9302369191776965,80000.0
