epoch,train_weighted_loss,validation_unweighted_loss
1,1.9065885366439819,0.4494396240234375
2,1.4861034817886352,0.22134290161132814
3,1.3110852482223512,0.17127799797058105
4,1.2220675894546509,0.1481845542907715
5,1.14706931640625,0.14230881481170654
6,1.110144850769043,0.1353222936630249
7,1.0829738499069215,0.1338993143081665
8,1.046343350906372,0.13123921756744386
9,1.0318340926361085,0.13345333280563354
10,1.0177405103683472,0.1285405068397522
11,0.9875393908309936,0.12632749710083008
12,0.9700193001365661,0.12770545697212218
13,0.9723802501106262,0.1286976153373718
14,0.9469130680656433,0.12433736386299134
15,0.9319403503990173,0.12318517937660217
16,0.9156643744659424,0.12591329441070556
17,0.9270456988143921,0.12407169470787048
18,0.9150066087341309,0.11952315702438354
19,0.9044766885375977,0.12303853192329407
20,0.8912318135452271,0.12414681811332702
