n,macro_f1,balanced_accuracy,accuracy,macro_average_precision,false_alarm_rate,absent_test_classes,source,target,task,seed,model,train_seconds,inference_seconds
80000,0.4488129439107751,0.45213100058089195,0.783575,0.42695131432056843,0.11370080526256096,[],unsw,ids2018,binary,7,SoftVoting,14.381325800000013,0.5200158999999758
80000,0.9597589928587409,0.9911658017934291,0.9952375,0.9903206281466765,0.004516270152729706,[],unsw,unsw,binary,7,SoftVoting,14.381325800000013,0.39070809999998346
80000,0.4642648562954266,0.47945925779666976,0.8356375,0.4166287889736046,0.053972439605307926,[],unsw,ids2018,binary,7,XGBoost,6.111446500000056,0.31146639999997205
80000,0.9757258115952409,0.9820015552042247,0.997275,0.9900909103542888,0.001801361314479085,[],unsw,unsw,binary,7,XGBoost,6.111446500000056,0.24050429999999778
80000,0.63184690591286,0.6726558997001764,0.7879125,0.5666393940787472,0.1704737062070357,[],unsw,ids2018,binary,42,DecisionTree,0.7737713999999869,0.08614680000005137
80000,0.9652520801793656,0.9922799535966282,0.9946875,0.9687426886485944,0.005117082483733133,[],unsw,unsw,binary,42,DecisionTree,0.7737713999999869,0.08394049999992603
80000,0.462417059558245,0.6836623293031219,0.494725,0.5152316508376147,0.5734914755941143,[],unsw,ids2018,binary,42,DeepMLP,57.026567,0.3748418999999785
80000,0.9620092947560419,0.9966149327033518,0.9941,0.9823788516933759,0.006104133927295869,[],unsw,unsw,binary,42,DeepMLP,57.026567,0.43855870000004415
80000,0.456106904387898,0.663074778377187,0.4908625,0.5803540192486781,0.5713153381659918,[],unsw,ids2018,binary,42,FeatureCNN,60.44163220000007,0.7650873000000047
80000,0.958516169729547,0.9944026366419447,0.9935375,0.9716675427678356,0.006532722054106004,[],unsw,unsw,binary,42,FeatureCNN,60.44163220000007,1.0353624000000536
80000,0.43731181041355294,0.4389092499118811,0.7474,0.5062243517333672,0.14121834872962574,[],unsw,ids2018,binary,42,RandomForest,4.779198000000065,0.23311709999995855
80000,0.9645165400145157,0.9949221374017145,0.9945375,0.9882238332254327,0.0054937205345662815,[],unsw,unsw,binary,42,RandomForest,4.779198000000065,0.1903731999999536
80000,0.42483634195708947,0.566496728647185,0.47275,0.5830225135499464,0.561097580308118,[],unsw,ids2018,binary,42,ShallowMLP,13.83295129999999,0.12005820000001677
80000,0.9555052409880047,0.9960434818676049,0.993,0.9738757347875888,0.007247035598789563,[],unsw,unsw,binary,42,ShallowMLP,13.83295129999999,0.12636640000005173
80000,0.4379627780139896,0.44383125054473516,0.7628625,0.5546267095179513,0.12195016501174538,[],unsw,ids2018,binary,42,SoftVoting,10.17056660000003,0.6525971999999456
80000,0.9664896234202301,0.9925438601555853,0.9948875,0.9903088663840721,0.0049222696988194346,[],unsw,unsw,binary,42,SoftVoting,10.17056660000003,0.34110249999991993
80000,0.45745017511530206,0.4752650964367101,0.8159375,0.4209428696679382,0.06106155154275173,[],unsw,ids2018,binary,42,XGBoost,4.617597199999977,0.20616159999997308
80000,0.9697190746169733,0.9749802993435863,0.995575,0.9900428807534496,0.002753354026780264,[],unsw,unsw,binary,42,XGBoost,4.617597199999977,0.1720006000000467
80000,0.5014523431007324,0.5903003473268436,0.62335,0.5182898055922369,0.36646499567847884,[],unsw,ids2018,binary,1337,DecisionTree,1.0899914999999964,0.08899979999978314
80000,0.9757043532795137,0.9919378359045508,0.9955125,0.9746268172948673,0.004117924775743587,[],unsw,unsw,binary,1337,DecisionTree,1.0899914999999964,0.09801310000011654
80000,0.411250569308831,0.6041364732211564,0.45185,0.5246813580126161,0.5950805503209261,[],unsw,ids2018,binary,1337,DeepMLP,64.09071329999983,0.2773199000000659
80000,0.9723299281984252,0.9970185081416554,0.9948,0.9922647873350979,0.005429365787126895,[],unsw,unsw,binary,1337,DeepMLP,64.09071329999983,0.3058706000001621
80000,0.38720307718944497,0.5284232557728233,0.4365375,0.5070842806276348,0.5917791915213172,[],unsw,ids2018,binary,1337,FeatureCNN,46.62030000000004,0.7532819000000472
80000,0.9734000815509166,0.9970031333502892,0.9950125,0.9851090738833728,0.0051933064050779,[],unsw,unsw,binary,1337,FeatureCNN,46.62030000000004,0.729255700000067
80000,0.43151995027984796,0.42432113199999344,0.733675,0.4810550077059211,0.17099054932910154,[],unsw,ids2018,binary,1337,RandomForest,5.150234200000114,0.22790410000015981
80000,0.9765529744162256,0.9964430626617993,0.9956375,0.993486317417891,0.004445785028589414,[],unsw,unsw,binary,1337,RandomForest,5.150234200000114,0.2093260999999984
80000,0.47410582683850877,0.5968790613619588,0.5638125,0.5249470838281359,0.44637771511965657,[],unsw,ids2018,binary,1337,ShallowMLP,12.810952100000122,0.19529160000001866
80000,0.9716987072677012,0.9969529360910863,0.994675,0.9806814993299156,0.005560509888265226,[],unsw,unsw,binary,1337,ShallowMLP,12.810952100000122,0.16279979999990246
