epoch,train_weighted_loss,validation_unweighted_loss
1,1.5972725614356995,0.1714783073425293
2,1.2782821949005128,0.13199191732406615
3,1.1449076571273804,0.12222425884008407
4,1.0667964177322389,0.11896967893838882
5,1.0230220572280884,0.12462691322863102
6,0.9864529164123536,0.12166856268048286
7,0.9487379566383362,0.11113145653307438
8,0.9169709669876098,0.11850591013133525
9,0.9117081781005859,0.126253604850173
10,0.8888415890884399,0.12113742412254214
11,0.9036022804450988,0.11994960191696882
