,precision,recall,f1-score,support
Analysis,0.11336032388663968,0.8484848484848485,0.2,33.0
Backdoor,0.04727272727272727,0.4482758620689655,0.08552631578947369,29.0
Benign,1.0,0.9017357402951659,0.9483291723330695,77719.0
DoS,0.12234042553191489,0.17037037037037037,0.14241486068111456,135.0
Exploits,0.08409766180080093,0.6555891238670695,0.14907258987863523,993.0
Fuzzers,0.5946745562130178,0.5973254086181278,0.5959970348406227,673.0
Generic,0.48770491803278687,0.595,0.536036036036036,200.0
Reconnaissance,0.3560371517027864,0.6647398843930635,0.4637096774193548,173.0
Shellcode,0.1518987341772152,0.5581395348837209,0.23880597014925373,43.0
Worms,0.030303030303030304,1.0,0.058823529411764705,2.0
accuracy,0.8932375,0.8932375,0.8932375,0.8932375
macro avg,0.29876895289209193,0.6439660772981332,0.3418715186539324,80000.0
weighted avg,0.9798760046775864,0.8932375,0.9309806448159612,80000.0
