,precision,recall,f1-score,support
Benign,0.9936353425683264,0.9562034328207641,0.9745600893040745,69389.0
Bot,0.10382513661202186,0.95,0.18719211822660098,20.0
Brute Force -Web,0.025,0.07142857142857142,0.037037037037037035,14.0
Brute Force -XSS,0.0015723270440251573,0.3333333333333333,0.003129890453834116,6.0
DDOS attack-HOIC,0.9975609756097561,0.7622064852776742,0.8641453623494613,5366.0
DDOS attack-LOIC-UDP,1.0,0.9,0.9473684210526315,10.0
DDoS attacks-LOIC-HTTP,0.9272833042466551,0.9912935323383084,0.9582206191764352,1608.0
DoS attacks-GoldenEye,0.6615384615384615,0.9416058394160584,0.7771084337349398,137.0
DoS attacks-Hulk,0.9865900383141762,0.9707822808671065,0.9786223277909739,2122.0
DoS attacks-SlowHTTPTest,0.8425925925925926,1.0,0.914572864321608,91.0
DoS attacks-Slowloris,0.13714285714285715,1.0,0.24120603015075376,48.0
FTP-BruteForce,0.9773755656108597,1.0,0.988558352402746,216.0
Infilteration,0.014431239388794566,0.07391304347826087,0.024147727272727272,460.0
SQL Injection,0.0,0.0,0.0,1.0
SSH-Bruteforce,0.8767123287671232,1.0,0.9343065693430657,512.0
accuracy,0.9394375,0.9394375,0.9394375,0.9394375
macro avg,0.56968401129571,0.7300511012640051,0.5886783895077926,80000.0
weighted avg,0.9842230536092559,0.9394375,0.9599529201052796,80000.0
