epoch,train_weighted_loss,validation_unweighted_loss
1,1.395483006594181,0.8921411743164063
2,0.5338900518035888,0.7205270446777344
3,0.48574481616973875,0.5973580902099609
4,0.42447004462242127,0.7487904541015625
5,0.41138340369224546,0.6687106567382812
6,0.4195530857133865,0.5324785827636719
7,0.37614187927246095,0.5630239501953125
8,0.3689090584945679,0.5278723876953125
9,0.36947515170574186,0.5771188781738281
10,0.37131555238246916,0.5001684448242187
11,0.3716294618797302,0.6139060791015625
12,0.35699750827789306,0.7508558410644531
13,0.35794953901290893,0.5613912017822266
14,0.3679676671314239,0.6516785766601563
