,precision,recall,f1-score,support
Analysis,0.09482758620689655,0.3055555555555556,0.14473684210526316,36.0
Backdoor,0.12352941176470589,0.5121951219512195,0.1990521327014218,41.0
Benign,0.9996866145228053,0.9943114666805201,0.9969917958067457,76997.0
DoS,0.19469026548672566,0.39461883408071746,0.2607407407407407,223.0
Exploits,0.8397951719092904,0.7464239271781534,0.7903614457831325,1538.0
Fuzzers,0.659919028340081,0.6877637130801688,0.6735537190082644,711.0
Generic,0.5497076023391813,0.7203065134099617,0.6235489220563848,261.0
Reconnaissance,0.4263565891472868,0.44,0.4330708661417323,125.0
Shellcode,0.25882352941176473,0.3793103448275862,0.3076923076923077,58.0
Worms,0.4,0.6,0.48,10.0
accuracy,0.9823375,0.9823375,0.9823375,0.9823375
macro avg,0.4547335799128738,0.5780485476763884,0.4909748772035993,80000.0
weighted avg,0.9875169014088484,0.9823375,0.9846361628659208,80000.0
