,Analysis,Backdoor,Benign,DoS,Exploits,Fuzzers,Generic,Reconnaissance,Shellcode,Worms
Analysis,3,0,14,5,6,0,2,6,0,0
Backdoor,2,8,3,6,10,3,4,5,0,0
Benign,4,2,76810,8,50,115,2,5,1,0
DoS,0,5,30,55,95,11,15,9,3,0
Exploits,3,2,60,23,1360,25,17,45,1,2
Fuzzers,3,4,77,18,38,553,5,6,7,0
Generic,1,1,3,16,39,5,189,7,0,0
Reconnaissance,1,4,4,5,46,2,3,59,1,0
Shellcode,0,0,1,0,3,31,0,8,15,0
Worms,0,0,1,0,6,1,0,0,0,2
