,Analysis,Backdoor,Benign,DoS,Exploits,Fuzzers,Generic,Reconnaissance,Shellcode,Worms
Analysis,14,9,1,4,8,0,0,0,0,0
Backdoor,12,17,0,3,5,1,1,2,0,0
Benign,66,16,76543,35,89,221,13,1,13,0
DoS,10,21,1,70,66,25,17,4,9,0
Exploits,25,20,0,64,1261,43,51,62,9,3
Fuzzers,11,19,3,23,29,563,13,11,37,2
Generic,5,13,0,8,20,16,197,1,1,0
Reconnaissance,8,18,0,5,20,3,0,69,2,0
Shellcode,0,0,0,0,4,16,0,1,37,0
Worms,0,0,0,0,2,1,1,0,0,6
