source,target,model,row,true_label,baseline,ranking,advantage,sufficiency_gap
ids2018,unsw,DecisionTree,1849062,1,median,signed_descending,0.0,0.0
ids2018,unsw,DecisionTree,1849062,1,mean,absolute,0.3065060959854753,0.5100147537638053
ids2018,unsw,DecisionTree,1849062,1,mean,signed_descending,0.10923256916049734,0.9637542066558643
ids2018,unsw,DecisionTree,1871037,0,median,absolute,0.0,0.20000000000000004
ids2018,unsw,DecisionTree,1871037,0,median,signed_descending,0.06666666666666667,0.0
ids2018,unsw,DecisionTree,1871037,0,mean,absolute,0.0,0.9637542066558643
ids2018,unsw,DecisionTree,1871037,0,mean,signed_descending,0.0,0.9637542066558643
ids2018,unsw,DecisionTree,1942006,1,median,absolute,0.008179419525065975,0.20000000000000004
ids2018,unsw,DecisionTree,1942006,1,median,signed_descending,0.3333333333333333,0.0
ids2018,unsw,DecisionTree,1942006,1,mean,absolute,0.0,0.9637542066558643
ids2018,unsw,DecisionTree,1942006,1,mean,signed_descending,0.0,0.9637542066558643
ids2018,unsw,DecisionTree,1971157,0,median,absolute,0.13101648677499705,0.20000000000000004
ids2018,unsw,DecisionTree,1971157,0,median,signed_descending,0.6206776578499981,0.0
ids2018,unsw,DecisionTree,1971157,0,mean,absolute,0.0,0.9637542066558643
ids2018,unsw,DecisionTree,1971157,0,mean,signed_descending,0.0,0.9637542066558643
ids2018,ids2018,DecisionTree,504154,1,median,absolute,0.5886381801300616,0.0
ids2018,ids2018,DecisionTree,504154,1,median,signed_descending,0.7775445868951469,0.0
ids2018,ids2018,DecisionTree,504154,1,mean,absolute,-0.09741599788341122,0.9637542066558643
ids2018,ids2018,DecisionTree,504154,1,mean,signed_descending,0.17642348150921347,0.9637542066558643
ids2018,ids2018,DecisionTree,526672,0,median,absolute,-0.2701795407375288,-0.06799167771259473
ids2018,ids2018,DecisionTree,526672,0,median,signed_descending,-0.2701795407375288,-0.06799167771259473
ids2018,ids2018,DecisionTree,526672,0,mean,absolute,-0.07193473459593504,0.2539552765281514
ids2018,ids2018,DecisionTree,526672,0,mean,signed_descending,-0.0039430568833403136,0.8957625289432697
ids2018,ids2018,DecisionTree,863548,1,median,absolute,0.7333333333333334,1.0
ids2018,ids2018,DecisionTree,863548,1,median,signed_descending,-0.06666666666666667,0.8282949577382688
ids2018,ids2018,DecisionTree,863548,1,mean,absolute,0.48734432451666465,0.8072491586688271
ids2018,ids2018,DecisionTree,863548,1,mean,signed_descending,0.820677657849998,0.03624579334413558
ids2018,ids2018,DecisionTree,1247706,1,median,absolute,-0.32696145025344375,1.0
ids2018,ids2018,DecisionTree,1247706,1,median,signed_descending,-0.3333333333333333,0.9570737394345672
ids2018,ids2018,DecisionTree,1247706,1,mean,absolute,-0.6,1.0
ids2018,ids2018,DecisionTree,1247706,1,mean,signed_descending,-0.6,0.03624579334413558
ids2018,ids2018,DecisionTree,3202532,0,median,absolute,0.0,0.5333333333333333
ids2018,ids2018,DecisionTree,3202532,0,median,signed_descending,0.4666666666666666,0.0
ids2018,ids2018,DecisionTree,3202532,0,mean,absolute,-0.104089709762533,0.5475473049472227
ids2018,ids2018,DecisionTree,3202532,0,mean,signed_descending,0.6054529463500439,0.9637542066558643
ids2018,ids2018,DecisionTree,3228906,0,median,absolute,-0.1838650613105476,0.0
ids2018,ids2018,DecisionTree,3228906,0,median,signed_descending,-0.1838650613105476,0.0
ids2018,ids2018,DecisionTree,3228906,0,mean,absolute,-0.004532778514172982,0.32194695424074615
ids2018,ids2018,DecisionTree,3228906,0,mean,signed_descending,0.08281154600249173,0.9637542066558643
ids2018,ids2018,DecisionTree,5124375,0,median,absolute,0.0,0.20000000000000004
ids2018,ids2018,DecisionTree,5124375,0,median,signed_descending,0.06666666666666667,0.0
ids2018,ids2018,DecisionTree,5124375,0,mean,absolute,0.0,0.9637542066558643
ids2018,ids2018,DecisionTree,5124375,0,mean,signed_descending,0.04563991323210412,0.8352536457684158
ids2018,ids2018,DecisionTree,5998673,1,median,absolute,0.004247922053259708,1.0
ids2018,ids2018,DecisionTree,5998673,1,median,signed_descending,0.0,0.9785368697172836
ids2018,ids2018,DecisionTree,5998673,1,mean,absolute,0.0,1.0
ids2018,ids2018,DecisionTree,5998673,1,mean,signed_descending,0.0,0.03624579334413558
ids2018,ids2018,DecisionTree,6392601,0,median,absolute,0.011182191100321445,-0.041933216626205416
ids2018,ids2018,DecisionTree,6392601,0,median,signed_descending,0.011182191100321445,-0.041933216626205416
ids2018,ids2018,DecisionTree,6392601,0,mean,absolute,-0.18307529235857048,0.32280088777554866
ids2018,ids2018,DecisionTree,6392601,0,mean,signed_descending,-0.1439376235074454,0.9218209900296589
ids2018,ids2018,DecisionTree,8475280,1,median,absolute,-0.06666666666666667,1.0
ids2018,ids2018,DecisionTree,8475280,1,median,signed_descending,-0.06666666666666667,0.9141474788691344
ids2018,ids2018,DecisionTree,8475280,1,mean,absolute,-0.13333333333333333,1.0
ids2018,ids2018,DecisionTree,8475280,1,mean,signed_descending,-0.13333333333333333,0.03624579334413558
ids2018,ids2018,DecisionTree,8535025,1,median,absolute,0.0,1.0
ids2018,ids2018,DecisionTree,8535025,1,median,signed_descending,0.0,1.0
ids2018,ids2018,DecisionTree,8535025,1,mean,absolute,-0.15632783774166767,1.0
ids2018,ids2018,DecisionTree,8535025,1,mean,signed_descending,-0.022994504408334327,0.03624579334413558
ids2018,ids2018,DecisionTree,8632909,1,median,absolute,0.0,1.0
ids2018,ids2018,DecisionTree,8632909,1,median,signed_descending,0.13333333333333333,0.892684348586418
ids2018,ids2018,DecisionTree,8632909,1,mean,absolute,0.0,0.9357497195562757
ids2018,ids2018,DecisionTree,8632909,1,mean,signed_descending,0.13333333333333333,0.16474635423158418
ids2018,ids2018,DecisionTree,9041050,1,median,absolute,-0.26666666666666666,1.0
ids2018,ids2018,DecisionTree,9041050,1,median,signed_descending,-0.26666666666666666,0.9570737394345672
ids2018,ids2018,DecisionTree,9041050,1,mean,absolute,-0.26666666666666666,1.0
ids2018,ids2018,DecisionTree,9041050,1,mean,signed_descending,-0.0666666666666667,0.03624579334413558
ids2018,ids2018,DecisionTree,9563273,0,median,absolute,-0.19130985218064453,-0.023755615237316396
ids2018,ids2018,DecisionTree,9563273,0,median,signed_descending,-0.188142436815669,-0.023755615237316396
ids2018,ids2018,DecisionTree,9563273,0,mean,absolute,-0.023100581637445505,0.29819133900342976
ids2018,ids2018,DecisionTree,9563273,0,mean,signed_descending,0.16900885190324924,0.939998591418548
ids2018,ids2018,DecisionTree,9850776,0,median,absolute,0.0,-0.05371044877277131
ids2018,ids2018,DecisionTree,9850776,0,median,signed_descending,0.07561114010958823,-0.05371044877277131
ids2018,ids2018,DecisionTree,9850776,0,mean,absolute,-0.1849254833778747,0.26823650546797484
ids2018,ids2018,DecisionTree,9850776,0,mean,signed_descending,-0.13283469275921164,0.7815431969956445
ids2018,ids2018,DecisionTree,13843066,0,median,absolute,0.0,0.0
ids2018,ids2018,DecisionTree,13843066,0,median,signed_descending,0.0,0.0
ids2018,ids2018,DecisionTree,13843066,0,mean,absolute,0.4749605847785581,0.364734104401754
ids2018,ids2018,DecisionTree,13843066,0,mean,signed_descending,0.0,0.9637542066558643
