source,target,model,seed,variant,temperature,brier,ece15,n
unsw,unsw,DecisionTree,42,raw,2.7704031168163317,0.004896881776481474,0.004794984626903201,80000
unsw,unsw,DecisionTree,42,source_calibrated,2.7704031168163317,0.004162994511852215,0.004857967851083635,80000
unsw,ids2018,DecisionTree,42,raw,2.7704031168163317,0.20242021434301322,0.19681628923650563,80000
unsw,ids2018,DecisionTree,42,source_calibrated,2.7704031168163317,0.19225515186657374,0.1770395978798645,80000
unsw,unsw,RandomForest,42,raw,1.638119104481288,0.004268221813372761,0.004333947861451716,80000
unsw,unsw,RandomForest,42,source_calibrated,1.638119104481288,0.003943917313314104,0.0038631759805495165,80000
unsw,ids2018,RandomForest,42,raw,1.638119104481288,0.22775694213719688,0.32466126149697255,80000
unsw,ids2018,RandomForest,42,source_calibrated,1.638119104481288,0.20914231407942244,0.3459763444264222,80000
unsw,unsw,XGBoost,42,raw,1.3339324240635273,0.003277331361089099,0.0013235338314959494,80000
unsw,unsw,XGBoost,42,source_calibrated,1.3339324240635273,0.003249530350997251,0.0013497097656648505,80000
unsw,ids2018,XGBoost,42,raw,1.3339324240635273,0.16231912779738897,0.17884613610926953,80000
unsw,ids2018,XGBoost,42,source_calibrated,1.3339324240635273,0.16189395330783538,0.19571774570784234,80000
unsw,unsw,SoftVoting,42,raw,1.434271423082745,0.003622853917218216,0.0028116018350111036,80000
unsw,unsw,SoftVoting,42,source_calibrated,1.434271423082745,0.00344309680919526,0.0020709008648789455,80000
unsw,ids2018,SoftVoting,42,raw,1.434271423082745,0.1605208965822609,0.22807090164490693,80000
unsw,ids2018,SoftVoting,42,source_calibrated,1.434271423082745,0.15100258582576934,0.2650497430887154,80000
unsw,unsw,ShallowMLP,42,raw,1.4845390879001246,0.0060878845305553765,0.0068051497133139495,80000
unsw,unsw,ShallowMLP,42,source_calibrated,1.4845390879001246,0.005715109519682836,0.008615010803262704,80000
unsw,ids2018,ShallowMLP,42,raw,1.4845390879001246,0.4635736401320647,0.4860124474336684,80000
unsw,ids2018,ShallowMLP,42,source_calibrated,1.4845390879001246,0.4321367354348581,0.4665966054727585,80000
unsw,unsw,DeepMLP,42,raw,2.185789082872035,0.005604831011340913,0.005960307439849569,80000
unsw,unsw,DeepMLP,42,source_calibrated,2.185789082872035,0.004858496802945386,0.004327872425314127,80000
unsw,ids2018,DeepMLP,42,raw,2.185789082872035,0.49939832568545633,0.5006157414077355,80000
unsw,ids2018,DeepMLP,42,source_calibrated,2.185789082872035,0.4633987233523982,0.4761993920738627,80000
unsw,unsw,FeatureCNN,42,raw,1.5827017009050943,0.005779004281699731,0.0058899731676985536,80000
unsw,unsw,FeatureCNN,42,source_calibrated,1.5827017009050943,0.005349965528413621,0.005800584074726794,80000
unsw,ids2018,FeatureCNN,42,raw,1.5827017009050943,0.47731355607409903,0.488809542741002,80000
unsw,ids2018,FeatureCNN,42,source_calibrated,1.5827017009050943,0.44598717007530186,0.467160460521192,80000
ids2018,unsw,DecisionTree,42,raw,1.0504476422391884,0.06575185295706157,0.08212940523658561,80000
ids2018,unsw,DecisionTree,42,source_calibrated,1.0504476422391884,0.0651985393998635,0.08187673571463472,80000
ids2018,ids2018,DecisionTree,42,raw,1.0504476422391884,0.014712784972614244,0.022139250262515682,80000
ids2018,ids2018,DecisionTree,42,source_calibrated,1.0504476422391884,0.014823459321188557,0.024386881212561332,80000
ids2018,unsw,RandomForest,42,raw,0.6396048271685209,0.07353204019260151,0.18228365065610533,80000
ids2018,unsw,RandomForest,42,source_calibrated,0.6396048271685209,0.052279173979747705,0.09643094822303587,80000
ids2018,ids2018,RandomForest,42,raw,0.6396048271685209,0.008742154150043646,0.02248656623766589,80000
ids2018,ids2018,RandomForest,42,source_calibrated,0.6396048271685209,0.007567445888908665,0.004747305663904298,80000
ids2018,unsw,XGBoost,42,raw,0.9816061108424013,0.03609490452926753,0.01933161486918366,80000
ids2018,unsw,XGBoost,42,source_calibrated,0.9816061108424013,0.036059735428223334,0.02046532035308718,80000
ids2018,ids2018,XGBoost,42,raw,0.9816061108424013,0.00681308969748858,0.00227473130734597,80000
ids2018,ids2018,XGBoost,42,source_calibrated,0.9816061108424013,0.006821709411163316,0.002654682079812288,80000
ids2018,unsw,SoftVoting,42,raw,0.6996896611921078,0.04482542055702616,0.07374703041033394,80000
ids2018,unsw,SoftVoting,42,source_calibrated,0.6996896611921078,0.039919612645287886,0.029882521050652852,80000
ids2018,ids2018,SoftVoting,42,raw,0.6996896611921078,0.007842183719550644,0.015299179349754478,80000
ids2018,ids2018,SoftVoting,42,source_calibrated,0.6996896611921078,0.0070062236715603835,0.005899269017386939,80000
ids2018,unsw,ShallowMLP,42,raw,0.6546471422053438,0.08986953207525174,0.1436638590187882,80000
ids2018,unsw,ShallowMLP,42,source_calibrated,0.6546471422053438,0.08707251055612825,0.11795144085141365,80000
ids2018,ids2018,ShallowMLP,42,raw,0.6546471422053438,0.010967768941385594,0.03331125544607639,80000
ids2018,ids2018,ShallowMLP,42,source_calibrated,0.6546471422053438,0.009765728487914281,0.008121902155946012,80000
ids2018,unsw,DeepMLP,42,raw,0.6255180457270684,0.04200658660130822,0.05940371695868671,80000
ids2018,unsw,DeepMLP,42,source_calibrated,0.6255180457270684,0.04029264665665388,0.03659056669557467,80000
ids2018,ids2018,DeepMLP,42,raw,0.6255180457270684,0.007718905737596107,0.029229142993595452,80000
ids2018,ids2018,DeepMLP,42,source_calibrated,0.6255180457270684,0.006479724230033803,0.0013774709530640337,80000
ids2018,unsw,FeatureCNN,42,raw,0.6405033604339112,0.08249260687397916,0.11120813899266066,80000
ids2018,unsw,FeatureCNN,42,source_calibrated,0.6405033604339112,0.07927569586504678,0.10294749268407466,80000
ids2018,ids2018,FeatureCNN,42,raw,0.6405033604339112,0.00789058786471576,0.02400082966312765,80000
ids2018,ids2018,FeatureCNN,42,source_calibrated,0.6405033604339112,0.007083336971864702,0.002876812064403201,80000
