model,matched_instances,jaccard5,lime_drop,random_drop,paired_advantage,rho_raw,rho_advantage,max_comp_error,max_suff_error
DecisionTree,483,0.34184641113557607,0.8014937382122842,0.349720718242425,0.4517730199698592,0.09092322752573682,0.20368425662710354,4.440892098500626e-16,6.661338147750939e-16
RandomForest,483,0.8628840908344013,0.5521158232297078,0.317311610951694,0.23480421227801376,-0.06482555496686186,0.20821408457799184,3.3306690738754696e-16,5.551115123125783e-16
XGBoost,483,0.6392306681126556,0.5402352198934708,0.3122732858022729,0.2279619340911979,0.3123090840277169,0.258441260546126,2.5363006739276442e-08,5.169312515818092e-07
