epoch,train_weighted_loss,validation_unweighted_loss
1,0.15867812915325163,0.08223773498535156
2,0.10983487452983856,0.07493481674194336
3,0.10110884428977966,0.07990001983642578
4,0.09857142377614975,0.05366719627380371
5,0.0957222828912735,0.057896559143066406
6,0.09462422283649445,0.05454918251037598
7,0.09400251133680344,0.057500821685791015
8,0.09295612279355527,0.04962109985351563
9,0.09214763509988785,0.05626632575988769
10,0.09165552444547415,0.0468077392578125
11,0.09104049046695233,0.049056821060180666
12,0.09054071752786637,0.05767623100280762
13,0.08971536599636078,0.04894009780883789
14,0.08917869547605514,0.054957654190063474
