,Analysis,Backdoor,Benign,DoS,Exploits,Fuzzers,Generic,Reconnaissance,Shellcode,Worms
Analysis,21,7,0,0,5,0,0,0,0,0
Backdoor,6,16,0,2,1,1,1,1,1,0
Benign,24,7,77302,20,77,151,7,0,131,0
DoS,8,10,2,43,41,12,6,2,11,0
Exploits,21,17,1,52,778,55,21,34,14,0
Fuzzers,9,8,0,3,15,605,5,0,26,2
Generic,5,13,0,11,18,14,136,0,3,0
Reconnaissance,13,9,1,4,23,1,1,115,6,0
Shellcode,0,0,0,0,0,8,0,0,35,0
Worms,0,0,0,0,0,0,0,0,0,2
