,precision,recall,f1-score,support
Analysis,0.19626168224299065,0.6363636363636364,0.3,33.0
Backdoor,0.1839080459770115,0.5517241379310345,0.27586206896551724,29.0
Benign,0.9999482575737977,0.9946345166561588,0.9972843089824222,77719.0
DoS,0.31851851851851853,0.31851851851851853,0.31851851851851853,135.0
Exploits,0.8121085594989561,0.783484390735146,0.7975397232188621,993.0
Fuzzers,0.7142857142857143,0.8989598811292719,0.7960526315789473,673.0
Generic,0.768361581920904,0.68,0.7214854111405835,200.0
Reconnaissance,0.756578947368421,0.6647398843930635,0.7076923076923077,173.0
Shellcode,0.15418502202643172,0.813953488372093,0.25925925925925924,43.0
Worms,0.5,1.0,0.6666666666666666,2.0
accuracy,0.9881625,0.9881625,0.9881625,0.9881625
macro avg,0.5404156329412746,0.7342378454098922,0.5840360896023085,80000.0
weighted avg,0.9918639639343517,0.9881625,0.9896968613619274,80000.0
