,precision,recall,f1-score,support
Benign,0.9957497007442361,0.8137405013042985,0.895591321511324,70536.0
Bot,1.0,1.0,1.0,531.0
Brute Force -Web,0.014388489208633094,0.18181818181818182,0.02666666666666667,11.0
Brute Force -XSS,0.0,0.0,0.0,4.0
DDOS attack-HOIC,0.9951544518473653,0.9676089517078916,0.9811884144520753,5094.0
DDOS attack-LOIC-UDP,1.0,1.0,1.0,7.0
DDoS attacks-LOIC-HTTP,0.9985096870342772,0.9985096870342772,0.9985096870342772,671.0
DoS attacks-GoldenEye,0.9910714285714286,0.9652173913043478,0.9779735682819384,115.0
DoS attacks-Hulk,0.9978891820580474,0.9994714587737844,0.9986796936889358,1892.0
DoS attacks-SlowHTTPTest,0.17467248908296942,0.975609756097561,0.2962962962962963,41.0
DoS attacks-Slowloris,0.9213483146067416,1.0,0.9590643274853801,82.0
FTP-BruteForce,1.0,0.40752351097178685,0.579064587973274,319.0
Infilteration,0.016196760647870425,0.47161572052401746,0.0313179643323184,458.0
SQL Injection,0.0,0.0,0.0,5.0
SSH-Bruteforce,0.9957081545064378,0.9914529914529915,0.9935760171306209,234.0
accuracy,0.8279875,0.8279875,0.8279875,0.8279875
macro avg,0.6733792438872005,0.7181712100659425,0.6491952363235406,80000.0
weighted avg,0.9894722680988515,0.8279875,0.8987777369215629,80000.0
