,precision,recall,f1-score,support
Benign,0.8672501823486506,0.8596886696155155,0.8634528716973878,70536.0
Attack,0.018057346959023713,0.019230769230769232,0.018625594842142965,9464.0
accuracy,0.7602625,0.7602625,0.7602625,0.7602625
macro avg,0.44265376465383716,0.4394597194231424,0.4410392332697654,80000.0
weighted avg,0.7667906699220578,0.7602625,0.7635098048454123,80000.0
