,precision,recall,f1-score,support
Benign,0.9999354338842975,0.9963458099049138,0.9981373945436617,77719.0
Attack,0.8890625,0.997807978956598,0.9403015905804586,2281.0
accuracy,0.9963875,0.9963875,0.9963875,0.9963875
macro avg,0.9444989669421487,0.997076894430756,0.9692194925620601,80000.0
weighted avg,0.9967741693569216,0.9963875,0.9964883511831609,80000.0
