,Analysis,Backdoor,Benign,DoS,Exploits,Fuzzers,Generic,Reconnaissance,Shellcode,Worms
Analysis,11,10,4,3,2,0,3,0,0,0
Backdoor,2,17,0,4,1,1,3,1,0,0
Benign,23,7,77308,148,77,121,19,2,14,0
DoS,8,12,3,62,30,8,8,3,1,0
Exploits,11,14,4,154,661,40,43,47,14,5
Fuzzers,5,13,4,11,21,472,14,1,129,3
Generic,5,7,0,20,13,8,139,0,6,2
Reconnaissance,12,7,1,12,19,2,3,115,2,0
Shellcode,0,0,0,5,0,8,0,0,30,0
Worms,0,0,0,0,0,0,0,0,0,2
