epoch,train_weighted_loss,validation_unweighted_loss
1,0.20165619352579117,0.0725789836883545
2,0.04837638792395592,0.04877580823898316
3,0.035860233225226405,0.04136941251754761
4,0.03048589833378792,0.03754207167625427
5,0.027477219185233118,0.03408743667602539
6,0.02548991935968399,0.03274505105018616
7,0.023786097095012664,0.031435481441020964
8,0.02242764686971903,0.030704267191886903
9,0.021396616231203078,0.030158044147491455
10,0.02025395326346159,0.028288725173473358
11,0.01978829395353794,0.02698969344496727
12,0.01904141884148121,0.027697675722837448
13,0.018503394820839167,0.025497421622276306
14,0.01799004027247429,0.02594636182785034
15,0.017754730021357537,0.02753927227258682
16,0.01734853551581502,0.026948631417751313
17,0.017495287675112485,0.025732532542943956
