,precision,recall,f1-score,support
Analysis,0.10588235294117647,0.5454545454545454,0.17733990147783252,33.0
Backdoor,0.10080645161290322,0.5813953488372093,0.1718213058419244,43.0
Benign,0.9999602538454404,0.9898232177516655,0.9948659140188887,76252.0
DoS,0.0847457627118644,0.21212121212121213,0.12110726643598616,165.0
Exploits,0.8611449451887941,0.5881863560732113,0.698961937716263,1202.0
Fuzzers,0.5665083135391924,0.6662011173184358,0.6123234916559692,716.0
Generic,0.5297805642633229,0.6926229508196722,0.6003552397868561,244.0
Reconnaissance,0.34626865671641793,0.09076682316118936,0.14383137011779293,1278.0
Shellcode,0.03289977046671767,0.8113207547169812,0.06323529411764706,53.0
Worms,0.18181818181818182,0.8571428571428571,0.3,14.0
accuracy,0.963475,0.963475,0.963475,0.963475
macro avg,0.3809815253104011,0.603503518339698,0.388384172116916,80000.0
weighted avg,0.9785948030261424,0.963475,0.96887711771122,80000.0
