epoch,train_weighted_loss,validation_unweighted_loss
1,1.2531200416755677,0.7633507629394531
2,0.5820595872688293,0.8140612854003906
3,0.47731988171100614,0.634889144897461
4,0.44603703444480897,0.6253791107177734
5,0.4004737465620041,0.7867373229980469
6,0.40751500786304473,0.5535991455078125
7,0.3921118042182922,0.7419492492675781
8,0.3819931703281403,0.48775986328125
9,0.35038040859222414,0.6127221069335937
10,0.3753100772857666,0.6253329772949219
11,0.3516745030975342,0.587346224975586
12,0.3634997841835022,0.5781741424560547
