,precision,recall,f1-score,support
Benign,0.9943300718285165,0.9969802653963933,0.9956534050686677,70536.0
Bot,1.0,1.0,1.0,531.0
Brute Force -Web,0.0,0.0,0.0,11.0
Brute Force -XSS,0.0,0.0,0.0,4.0
DDOS attack-HOIC,0.9964788732394366,1.0,0.9982363315696648,5094.0
DDOS attack-LOIC-UDP,1.0,1.0,1.0,7.0
DDoS attacks-LOIC-HTTP,1.0,0.9761549925484352,0.9879336349924586,671.0
DoS attacks-GoldenEye,0.991304347826087,0.991304347826087,0.991304347826087,115.0
DoS attacks-Hulk,1.0,1.0,1.0,1892.0
DoS attacks-SlowHTTPTest,0.17154811715481172,1.0,0.29285714285714287,41.0
DoS attacks-Slowloris,0.9879518072289156,1.0,0.9939393939393939,82.0
FTP-BruteForce,1.0,0.3793103448275862,0.55,319.0
Infilteration,0.2664359861591695,0.16812227074235808,0.20615796519410978,458.0
SQL Injection,0.0,0.0,0.0,5.0
SSH-Bruteforce,1.0,0.9914529914529915,0.9957081545064378,234.0
accuracy,0.9896125,0.9896125,0.9896125,0.9896125
macro avg,0.6938699468957957,0.7002216808529235,0.6674526917302643,80000.0
weighted avg,0.9898775316179368,0.9896125,0.9889713018924118,80000.0
