,precision,recall,f1-score,support
Analysis,0.08878504672897196,0.5277777777777778,0.152,36.0
Backdoor,0.06589147286821706,0.4146341463414634,0.11371237458193979,41.0
Benign,1.0,0.9883501954621609,0.9941409694507404,76997.0
DoS,0.17123287671232876,0.2242152466367713,0.1941747572815534,223.0
Exploits,0.792962356792144,0.6300390117035111,0.7021739130434783,1538.0
Fuzzers,0.528281750266809,0.6962025316455697,0.6007281553398058,711.0
Generic,0.3741496598639456,0.632183908045977,0.4700854700854701,261.0
Reconnaissance,0.26956521739130435,0.496,0.3492957746478873,125.0
Shellcode,0.27611940298507465,0.6379310344827587,0.3854166666666667,58.0
Worms,0.05232558139534884,0.9,0.0989010989010989,10.0
accuracy,0.9740375,0.9740375,0.9740375,0.9740375
macro avg,0.3619313365004144,0.6147333852095991,0.40606291799986405,80000.0
weighted avg,0.9848019258418526,0.9740375,0.9787008257114592,80000.0
