,Analysis,Backdoor,Benign,DoS,Exploits,Fuzzers,Generic,Reconnaissance,Shellcode,Worms
Analysis,19,7,0,9,0,0,0,1,0,0
Backdoor,16,17,0,1,2,1,2,1,0,1
Benign,81,143,76100,88,196,257,72,15,41,4
DoS,28,18,0,50,38,37,32,10,3,7
Exploits,36,18,0,117,969,90,129,47,17,115
Fuzzers,15,24,0,14,2,495,38,74,33,16
Generic,6,18,0,11,6,52,165,1,1,1
Reconnaissance,13,13,0,2,9,3,3,62,1,19
Shellcode,0,0,0,0,0,2,0,19,37,0
Worms,0,0,0,0,0,0,0,0,1,9
