,Benign,Bot,Brute Force -Web,Brute Force -XSS,DDOS attack-HOIC,DDOS attack-LOIC-UDP,DDoS attacks-LOIC-HTTP,DoS attacks-GoldenEye,DoS attacks-Hulk,DoS attacks-SlowHTTPTest,DoS attacks-Slowloris,FTP-BruteForce,Infilteration,SQL Injection,SSH-Bruteforce
Benign,65248,283,287,8,6,2,61,6,9,3,2,0,4464,10,147
Bot,0,531,0,0,0,0,0,0,0,0,0,0,0,0,0
Brute Force -Web,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0
Brute Force -XSS,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
DDOS attack-HOIC,0,0,2,10,5077,0,0,0,0,0,0,0,0,5,0
DDOS attack-LOIC-UDP,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
DDoS attacks-LOIC-HTTP,16,0,0,0,0,0,655,0,0,0,0,0,0,0,0
DoS attacks-GoldenEye,0,0,0,0,0,0,0,111,2,0,2,0,0,0,0
DoS attacks-Hulk,1,0,0,0,0,0,0,20,1870,0,1,0,0,0,0
DoS attacks-SlowHTTPTest,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0
DoS attacks-Slowloris,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0
FTP-BruteForce,0,0,0,0,0,0,0,0,0,0,0,319,0,0,0
Infilteration,381,4,1,0,1,0,2,0,0,0,0,0,69,0,0
SQL Injection,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
SSH-Bruteforce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234
