epoch,train_weighted_loss,validation_unweighted_loss
1,1.618051476764679,1.185720654296875
2,0.6223522331523895,0.8020577392578125
3,0.482710398402214,0.616902603149414
4,0.5507151534974575,0.7292559143066406
5,0.39690451380491254,0.6312152587890625
6,0.37175013549804686,0.6779348754882812
7,0.34771698944091795,0.5752706573486328
8,0.36710296973228457,0.610825732421875
9,0.34078237177848814,0.6512599151611328
10,0.33784126704216005,0.5637353393554687
11,0.33554925253629686,0.5880565948486328
12,0.3395463452100754,0.5732306579589844
13,0.3095496997070312,0.5013739196777344
14,0.3031674028205872,0.5296049652099609
15,0.32574784395694734,0.48655068359375
16,0.314066495552063,0.560004232788086
17,0.45216977050304413,0.5317194458007812
18,0.37095417706489564,0.5138580047607422
19,0.3145873476886749,0.5149856231689454
