,precision,recall,f1-score,support
Benign,0.9939371781982147,0.9250311897470795,0.9582470517395838,70536.0
Bot,0.6491442542787286,1.0,0.787249814677539,531.0
Brute Force -Web,0.00684931506849315,0.18181818181818182,0.013201320132013201,11.0
Brute Force -XSS,0.0,0.0,0.0,4.0
DDOS attack-HOIC,0.9950999607996864,0.996662740478995,0.995880737544135,5094.0
DDOS attack-LOIC-UDP,0.7777777777777778,1.0,0.875,7.0
DDoS attacks-LOIC-HTTP,0.9122562674094707,0.9761549925484352,0.9431245500359972,671.0
DoS attacks-GoldenEye,0.8102189781021898,0.9652173913043478,0.8809523809523809,115.0
DoS attacks-Hulk,0.9941520467836257,0.9883720930232558,0.9912536443148688,1892.0
DoS attacks-SlowHTTPTest,0.9318181818181818,1.0,0.9647058823529412,41.0
DoS attacks-Slowloris,0.9425287356321839,1.0,0.9704142011834319,82.0
FTP-BruteForce,1.0,1.0,1.0,319.0
Infilteration,0.015221707478491065,0.15065502183406113,0.027649769585253458,458.0
SQL Injection,0.0,0.0,0.0,5.0
SSH-Bruteforce,0.6141732283464567,1.0,0.7609756097560976,234.0
accuracy,0.928075,0.928075,0.928075,0.928075
macro avg,0.6428785087795668,0.7455941073836237,0.6779103308182829,80000.0
weighted avg,0.9837377772162227,0.928075,0.954083589617778,80000.0
