epoch,train_weighted_loss,validation_unweighted_loss
1,0.07565580779433251,0.04135933890342713
2,0.022361543551683426,0.030012627428770065
3,0.019774240096434952,0.030564940083026886
4,0.018155976362526416,0.03465617015361786
5,0.018165863499045372,0.03010243660211563
6,0.017634271035194396,0.029743986143916844
7,0.016832287650182843,0.030728086251020432
8,0.016766133575439452,0.028526327967084944
9,0.01659166544765234,0.029026924196537584
10,0.016565146451741456,0.030002583320066334
11,0.01608426064670086,0.030970470695756376
12,0.015798878608345987,0.0382494410675019
