epoch,train_weighted_loss,validation_unweighted_loss
1,0.17616488374710082,0.08972054748535156
2,0.04283536723464727,0.056851578426361085
3,0.032657101549506184,0.04798463816642761
4,0.02829803979277611,0.04435793604850769
5,0.02577100715339184,0.04267801284790039
6,0.024376985242962838,0.04122371764183044
7,0.02268779601842165,0.04008206000328064
8,0.02148319130420685,0.03864221515655518
9,0.020473167587071656,0.04061032452583313
10,0.019707525582909585,0.03436956405639648
11,0.019235187875032426,0.0399972421169281
12,0.01879134268760681,0.03735024266242981
13,0.01830706039726734,0.033736659574508665
14,0.017796274812221527,0.0351439733505249
15,0.017538480517268182,0.035437379193305966
16,0.017390859805941582,0.035243261170387265
17,0.016945952085852624,0.031819751632213594
18,0.016603794411718845,0.030361703407764434
19,0.016623490237519144,0.029912352097034453
20,0.016465238664746286,0.030703436893224717
