,precision,recall,f1-score,support
Benign,0.9945324527704638,0.9799393217647726,0.9871819590536787,70536.0
Bot,1.0,0.9981167608286252,0.9990574929311969,531.0
Brute Force -Web,1.0,0.18181818181818182,0.3076923076923077,11.0
Brute Force -XSS,0.0,0.0,0.0,4.0
DDOS attack-HOIC,0.9964781843083546,0.9998036906164115,0.9981381675649191,5094.0
DDOS attack-LOIC-UDP,1.0,1.0,1.0,7.0
DDoS attacks-LOIC-HTTP,1.0,0.9746646795827124,0.9871698113207548,671.0
DoS attacks-GoldenEye,0.991304347826087,0.991304347826087,0.991304347826087,115.0
DoS attacks-Hulk,0.9994714587737844,0.9994714587737844,0.9994714587737844,1892.0
DoS attacks-SlowHTTPTest,1.0,1.0,1.0,41.0
DoS attacks-Slowloris,0.9879518072289156,1.0,0.9939393939393939,82.0
FTP-BruteForce,1.0,1.0,1.0,319.0
Infilteration,0.06481481481481481,0.21397379912663755,0.09949238578680203,458.0
SQL Injection,0.0,0.0,0.0,5.0
SSH-Bruteforce,1.0,0.9914529914529915,0.9957081545064378,234.0
accuracy,0.9773,0.9773,0.9773,0.9773
macro avg,0.802303537714828,0.755369682119347,0.7572770319596908,80000.0
weighted avg,0.9894512274107768,0.9773,0.9830590478507646,80000.0
