,precision,recall,f1-score,support
Analysis,0.1111111111111111,0.030303030303030304,0.047619047619047616,33.0
Backdoor,0.2608695652173913,0.27906976744186046,0.2696629213483146,43.0
Benign,0.998006348207025,0.997875465561559,0.9979409025928889,76252.0
DoS,0.030278232405891982,0.22424242424242424,0.05335255948089401,165.0
Exploits,0.7861356932153393,0.8868552412645591,0.8334636434714621,1202.0
Fuzzers,0.7863695937090432,0.8379888268156425,0.8113590263691683,716.0
Generic,0.8523809523809524,0.7336065573770492,0.788546255506608,244.0
Reconnaissance,0.5046728971962616,0.04225352112676056,0.0779783393501805,1278.0
Shellcode,0.6,0.5094339622641509,0.5510204081632653,53.0
Worms,0.0,0.0,0.0,14.0
accuracy,0.975825,0.975825,0.975825,0.975825
macro avg,0.4929824393443015,0.45416287963970364,0.44309431039018293,80000.0
weighted avg,0.9814073584642292,0.975825,0.975262273237694,80000.0
