epoch,train_weighted_loss,validation_unweighted_loss
1,1.6446573528861999,1.010910760498047
2,0.810172341003418,0.8092796936035156
3,0.6412731805038452,0.7824318969726562
4,0.5130521079874039,0.7021020385742187
5,0.46621676431655884,0.6400280883789062
6,0.43755466914176944,0.684936181640625
7,0.4095319658184052,0.6141706512451172
8,0.3929873362159729,0.554727978515625
9,0.3632469684314728,0.6377501068115234
10,0.3655249146413803,0.6033341705322266
11,0.35145130679130554,0.6257100250244141
12,0.35145920748710635,0.5222691040039062
13,0.3314831959629059,0.5439757537841797
14,0.33816043537139895,0.5223772979736329
15,0.33220371147155764,0.52218271484375
16,0.33358408822536467,0.5135990020751953
17,0.3194510966587067,0.49542020568847656
18,0.32274142095565794,0.5531904357910157
19,0.3267933868503571,0.530710092163086
20,0.3163227242612839,0.4959325561523438
