,precision,recall,f1-score,support
Benign,0.9946539517410778,0.7807644323466032,0.8748252636929724,70536.0
Bot,0.6959370904325033,1.0,0.8207109737248841,531.0
Brute Force -Web,0.006134969325153374,0.18181818181818182,0.011869436201780416,11.0
Brute Force -XSS,0.0,0.0,0.0,4.0
DDOS attack-HOIC,0.9885503590141665,1.0,0.9942422172343125,5094.0
DDOS attack-LOIC-UDP,0.7777777777777778,1.0,0.875,7.0
DDoS attacks-LOIC-HTTP,0.8733333333333333,0.9761549925484352,0.9218859957776214,671.0
DoS attacks-GoldenEye,0.4868421052631579,0.9652173913043478,0.6472303206997084,115.0
DoS attacks-Hulk,0.9824272377814388,0.9455602536997886,0.9636412604363048,1892.0
DoS attacks-SlowHTTPTest,0.7321428571428571,1.0,0.845360824742268,41.0
DoS attacks-Slowloris,0.803921568627451,1.0,0.8913043478260869,82.0
FTP-BruteForce,0.996875,1.0,0.9984350547730829,319.0
Infilteration,0.011508258868128892,0.37117903930131,0.02232435981615233,458.0
SQL Injection,0.0,0.0,0.0,5.0
SSH-Bruteforce,0.7134146341463414,1.0,0.8327402135231317,234.0
accuracy,0.8013375,0.8013375,0.8013375,0.8013375
macro avg,0.604234609563559,0.7480462860679111,0.6466380178965536,80000.0
weighted avg,0.9832067424166262,0.8013375,0.879511966245587,80000.0
