epoch,train_weighted_loss,validation_unweighted_loss
1,0.07688856121838093,0.04487580006122589
2,0.023435312878862025,0.03505708179473877
3,0.020078061400651933,0.03495512911528349
4,0.018489838041067123,0.03156689443588257
5,0.01762831623673439,0.02732532423660159
6,0.017184970560073853,0.03618356781117618
7,0.01630303426295519,0.03747134704999626
8,0.016287402539849283,0.02721115303747356
9,0.0157344977876544,0.03359006823031232
10,0.015849076845049857,0.027794853938370945
11,0.015475312751159072,0.029913829588878435
12,0.015878912072777748,0.033433834707643835
