epoch,train_weighted_loss,validation_unweighted_loss
1,0.14823454764842986,0.09609228363037109
2,0.0997034628367424,0.075208207321167
3,0.09444352634429931,0.0704471378326416
4,0.09265822304725647,0.07163772201538086
5,0.09084112452089786,0.07987600212097168
6,0.08961175299048424,0.0700914234161377
7,0.08862463967323303,0.07009217071533203
8,0.08739325732111931,0.07488454971313477
9,0.0869055851638317,0.0675349765777588
10,0.0856121270275116,0.06424378318786621
11,0.0849290930390358,0.07071072578430176
12,0.08471047333240508,0.06869261245727538
13,0.08390530253171921,0.07257706031799316
14,0.08335004247605801,0.0741038444519043
