,precision,recall,f1-score,support
Benign,0.9938964224295904,0.9990365133117021,0.9964598393148623,70577.0
Attack,0.9924928240229631,0.9540486044784039,0.9728910773226557,9423.0
accuracy,0.9937375,0.9937375,0.9937375,0.9937375
macro avg,0.9931946232262767,0.9765425588950529,0.9846754583187589,80000.0
weighted avg,0.9937310960822698,0.9937375,0.9936837337617052,80000.0
