,precision,recall,f1-score,support
Analysis,0.13513513513513514,0.30303030303030304,0.18691588785046728,33.0
Backdoor,0.21518987341772153,0.5862068965517241,0.3148148148148148,29.0
Benign,0.999754356932306,0.9949819220525226,0.9973624304332965,77719.0
DoS,0.17132867132867133,0.362962962962963,0.2327790973871734,135.0
Exploits,0.8262668045501551,0.8046324269889225,0.8153061224489796,993.0
Fuzzers,0.7481481481481481,0.9004457652303121,0.8172623061362104,673.0
Generic,0.7421052631578947,0.705,0.7230769230769231,200.0
Reconnaissance,0.6802325581395349,0.6763005780346821,0.6782608695652174,173.0
Shellcode,0.3283582089552239,0.5116279069767442,0.4,43.0
Worms,0.2857142857142857,1.0,0.4444444444444444,2.0
accuracy,0.98865,0.98865,0.98865,0.98865
macro avg,0.5132233305479076,0.6845188761828174,0.5610222896157527,80000.0
weighted avg,0.9917314620026008,0.98865,0.9900049209810239,80000.0
