,Analysis,Backdoor,Benign,DoS,Exploits,Fuzzers,Generic,Reconnaissance,Shellcode,Worms
Analysis,10,11,4,3,2,0,0,3,0,0
Backdoor,2,17,0,4,1,1,1,3,0,0
Benign,22,7,77329,136,70,131,11,1,12,0
DoS,8,10,3,49,45,10,6,3,1,0
Exploits,9,10,5,61,799,34,22,42,10,1
Fuzzers,5,10,6,5,8,606,9,2,19,3
Generic,5,7,0,19,17,8,141,1,1,1
Reconnaissance,13,7,1,7,25,1,0,117,2,0
Shellcode,0,0,0,2,0,19,0,0,22,0
Worms,0,0,0,0,0,0,0,0,0,2
