,precision,recall,f1-score,support
Analysis,0.13333333333333333,0.30303030303030304,0.18518518518518517,33.0
Backdoor,0.17117117117117117,0.4418604651162791,0.24675324675324675,43.0
Benign,0.9997890990575364,0.9947148927241253,0.9972455412610031,76252.0
DoS,0.18351063829787234,0.41818181818181815,0.25508317929759705,165.0
Exploits,0.8001949317738791,0.6830282861896838,0.7369838420107719,1202.0
Fuzzers,0.7321937321937322,0.7178770949720671,0.7249647390691114,716.0
Generic,0.6254295532646048,0.7459016393442623,0.680373831775701,244.0
Reconnaissance,0.909830007390983,0.9632237871674492,0.935765868491068,1278.0
Shellcode,0.20967741935483872,0.7358490566037735,0.3263598326359833,53.0
Worms,0.6666666666666666,0.7142857142857143,0.6896551724137931,14.0
accuracy,0.9843,0.9843,0.9843,0.9843
macro avg,0.5431796552504619,0.6717953057615476,0.5778370438893461,80000.0
weighted avg,0.9887482101782386,0.9843,0.98618223509048,80000.0
