,Analysis,Backdoor,Benign,DoS,Exploits,Fuzzers,Generic,Reconnaissance,Shellcode,Worms
Analysis,25,5,0,2,0,0,0,1,0,0
Backdoor,9,14,0,0,1,1,1,3,0,0
Benign,146,17,70195,57,6968,108,39,166,22,1
DoS,22,11,0,28,35,13,13,12,0,1
Exploits,35,21,1,99,655,44,51,52,14,21
Fuzzers,12,17,0,81,5,373,14,143,25,3
Generic,8,9,0,26,14,15,118,4,3,3
Reconnaissance,16,9,0,0,17,1,3,126,0,1
Shellcode,0,0,0,0,0,2,0,18,23,0
Worms,0,0,0,0,0,0,0,0,0,2
