,precision,recall,f1-score,support
Analysis,0.09157509157509157,0.7575757575757576,0.16339869281045752,33.0
Backdoor,0.13592233009708737,0.4827586206896552,0.21212121212121213,29.0
Benign,0.999985754174027,0.9031896962132812,0.9491261873373221,77719.0
DoS,0.09556313993174062,0.2074074074074074,0.1308411214953271,135.0
Exploits,0.08512020792722547,0.6596173212487412,0.15078268876611417,993.0
Fuzzers,0.6696588868940754,0.5542347696879644,0.6065040650406504,673.0
Generic,0.49372384937238495,0.59,0.5375854214123007,200.0
Reconnaissance,0.24,0.7283236994219653,0.36103151862464183,173.0
Shellcode,0.26436781609195403,0.5348837209302325,0.35384615384615387,43.0
Worms,0.0625,1.0,0.11764705882352941,2.0
accuracy,0.8944875,0.8944875,0.8944875,0.8944875
macro avg,0.31384170760635866,0.6417990993175005,0.35828841202777095,80000.0
weighted avg,0.9803089995181832,0.8944875,0.9317209504817516,80000.0
