,precision,recall,f1-score,support
Benign,0.9947926273819828,0.9939605307927867,0.9943764050123038,70536.0
Bot,1.0,1.0,1.0,531.0
Brute Force -Web,0.4,0.18181818181818182,0.25,11.0
Brute Force -XSS,0.0,0.0,0.0,4.0
DDOS attack-HOIC,0.9962788875832355,0.9986258343148803,0.9974509803921568,5094.0
DDOS attack-LOIC-UDP,1.0,1.0,1.0,7.0
DDoS attacks-LOIC-HTTP,1.0,0.9985096870342772,0.9992542878448919,671.0
DoS attacks-GoldenEye,0.9912280701754386,0.9826086956521739,0.9868995633187773,115.0
DoS attacks-Hulk,0.9994714587737844,0.9994714587737844,0.9994714587737844,1892.0
DoS attacks-SlowHTTPTest,0.1782608695652174,1.0,0.3025830258302583,41.0
DoS attacks-Slowloris,0.9761904761904762,1.0,0.9879518072289156,82.0
FTP-BruteForce,1.0,0.40752351097178685,0.579064587973274,319.0
Infilteration,0.17953667953667954,0.20305676855895197,0.19057377049180327,458.0
SQL Injection,0.0,0.0,0.0,5.0
SSH-Bruteforce,1.0,0.9914529914529915,0.9957081545064378,234.0
accuracy,0.9873625,0.9873625,0.9873625,0.9873625
macro avg,0.7143839379471209,0.7171351772913208,0.6855556027581735,80000.0
weighted avg,0.9898089095045287,0.9873625,0.9879313815730766,80000.0
