,Analysis,Backdoor,Benign,DoS,Exploits,Fuzzers,Generic,Reconnaissance,Shellcode,Worms
Analysis,18,17,0,0,0,0,0,0,1,0
Backdoor,4,29,0,1,2,1,1,3,0,0
Benign,264,99,76264,45,36,200,19,10,58,2
DoS,37,30,1,54,43,28,12,6,7,5
Exploits,69,39,0,114,1041,63,43,77,25,67
Fuzzers,4,40,0,26,11,501,14,25,76,14
Generic,0,22,0,25,15,23,173,1,1,1
Reconnaissance,3,25,0,2,6,2,1,82,2,2
Shellcode,0,0,0,0,0,2,0,10,46,0
Worms,0,0,0,0,0,0,0,0,1,9
