,precision,recall,f1-score,support
Analysis,0.09363295880149813,0.7575757575757576,0.16666666666666666,33.0
Backdoor,0.08666666666666667,0.3023255813953488,0.13471502590673576,43.0
Benign,1.0,0.9913838325552117,0.9956732763900505,76252.0
DoS,0.16521739130434782,0.23030303030303031,0.19240506329113924,165.0
Exploits,0.8822800495662949,0.5923460898502496,0.7088103534096566,1202.0
Fuzzers,0.5686695278969958,0.7402234636871509,0.6432038834951457,716.0
Generic,0.46782178217821785,0.7745901639344263,0.5833333333333334,244.0
Reconnaissance,0.4703389830508475,0.08685446009389672,0.14663143989431968,1278.0
Shellcode,0.027586206896551724,0.6792452830188679,0.053019145802650956,53.0
Worms,0.16216216216216217,0.8571428571428571,0.2727272727272727,14.0
accuracy,0.9657625,0.9657625,0.9657625,0.9657625
macro avg,0.39243757285235825,0.6011990519556797,0.3897185460916971,80000.0
weighted avg,0.980908993748144,0.9657625,0.970174984853701,80000.0
