epoch,train_weighted_loss,validation_unweighted_loss
1,1.6818161338996886,0.1349542984008789
2,1.2838273280715942,0.10865434494018554
3,1.1785159876632691,0.10772463681697846
4,1.1138872405052185,0.0949419783115387
5,1.065485137348175,0.09353769912719727
6,1.0385344588851928,0.09517780826091767
7,0.9994403682518005,0.09114870753288269
8,0.9646154032325744,0.09565756057500839
9,0.9608010408020019,0.0877430239200592
10,0.9180667749214172,0.08931959325075149
11,0.9266793228530884,0.08505859516859055
12,0.9117192850112915,0.08628411030769348
13,0.877225243396759,0.09154622861146927
14,0.8869902640151978,0.08792418000698089
15,0.8760666013908386,0.08228716198205947
16,0.864627566986084,0.08982939479351043
17,0.8514904697227478,0.07912025620937348
18,0.8475042681121826,0.08286073753833771
19,0.8229016042327881,0.08503601132631301
20,0.8327517568588256,0.07942821258306504
