,Analysis,Backdoor,Benign,DoS,Exploits,Fuzzers,Generic,Reconnaissance,Shellcode,Worms
Analysis,25,2,0,4,0,0,2,0,0,0
Backdoor,19,13,0,1,0,3,2,2,2,1
Benign,98,118,75595,58,49,249,53,2,28,2
DoS,31,1,0,38,28,25,28,7,5,2
Exploits,53,3,0,115,712,85,107,72,11,44
Fuzzers,14,9,0,7,4,530,23,42,80,7
Generic,10,2,0,5,10,23,189,0,5,0
Reconnaissance,17,2,0,2,4,0,0,111,1138,4
Shellcode,0,0,0,0,0,15,0,0,36,2
Worms,0,0,0,0,0,2,0,0,0,12
