,Analysis,Backdoor,Benign,DoS,Exploits,Fuzzers,Generic,Reconnaissance,Shellcode,Worms
Analysis,2,4,12,3,1,9,1,1,0,0
Backdoor,1,8,6,1,4,7,2,0,0,0
Benign,1,1,77587,4,42,79,1,0,4,0
DoS,2,4,18,31,56,12,6,6,0,0
Exploits,2,5,29,25,857,33,14,23,5,0
Fuzzers,3,4,41,2,16,595,4,4,4,0
Generic,1,5,6,6,27,11,141,3,0,0
Reconnaissance,3,1,4,5,35,6,5,113,1,0
Shellcode,0,0,3,0,0,17,0,0,23,0
Worms,0,0,0,0,2,0,0,0,0,0
