,precision,recall,f1-score,support
Analysis,0.13333333333333333,0.06060606060606061,0.08333333333333333,33.0
Backdoor,0.25,0.27586206896551724,0.26229508196721313,29.0
Benign,0.9984685867243198,0.9983015736177768,0.9983850731864243,77719.0
DoS,0.4025974025974026,0.22962962962962963,0.29245283018867924,135.0
Exploits,0.8240384615384615,0.8630412890231621,0.8430890309886867,993.0
Fuzzers,0.7737321196358907,0.8841010401188707,0.8252427184466019,673.0
Generic,0.8103448275862069,0.705,0.7540106951871658,200.0
Reconnaissance,0.7533333333333333,0.653179190751445,0.6996904024767802,173.0
Shellcode,0.6216216216216216,0.5348837209302325,0.575,43.0
Worms,0.0,0.0,0.0,2.0
accuracy,0.9919625,0.9919625,0.9919625,0.9919625
macro avg,0.556746968637057,0.5204604573642695,0.5333499165774885,80000.0
weighted avg,0.9915512251464291,0.9919625,0.9916559566047561,80000.0
