epoch,train_weighted_loss,validation_unweighted_loss
1,0.21956469260692596,0.11284890365600586
2,0.12037662110328674,0.09861883392333984
3,0.11196703799366951,0.08734043731689453
4,0.10694493276834488,0.09424474029541016
5,0.1036559676361084,0.08711298599243164
6,0.10125713441848755,0.09208421173095703
7,0.10005252823829651,0.0752856803894043
8,0.09780253146886826,0.09119905853271484
9,0.0963030705833435,0.09027262496948242
10,0.0961833799648285,0.08239339256286621
11,0.09521694564580917,0.08508924102783202
